query_id,query_text
1,blue jeans for women
2,black formal shirt men
3,casual t-shirt under 1000
4,white sneakers
5,leather handbag
6,red dress women
7,denim jacket
8,brown leather shoes
9,polo shirt men
10,black trousers
11,winter jacket
12,running shoes
13,formal suit men
14,cotton kurta women
15,backpack for college
16,perfume for men
17,gold jewelry
18,home decor items
19,bedsheet set
20,workout clothes
21,evening dress
22,casual shorts
23,wristwatch
24,sunglasses
25,sports shoes
26,ethnic wear women
27,office shirt
28,party wear
29,comfortable sandals
30,travel bag
31,gym wear
32,wedding dress
33,casual sneakers
34,designer handbag
35,formal shoes
36,summer dress
37,winter sweater
38,jewelry set
39,home furniture
40,kids clothing
41,branded t-shirt
42,designer jeans
43,luxury perfume
44,fashion accessories
45,comfortable bra
46,maternity wear
47,plus size clothing
48,trendy shoes
49,stylish bag
50,home essentials
51,striped shirt men
52,ankle jeans for women
53,cotton pajamas men
54,party dress women
55,sports watch
56,leather jacket men
57,kurta pajama men
58,casual dress
59,formal trousers men
60,ethnic saree
61,printed shirt men
62,skinny jeans women
63,trackpants men
64,cocktail dress
65,dress shirt men
66,floral dress women
67,cargo pants men
68,ethnic wear men
69,office wear women
70,loungewear women
71,polo tshirt men
72,high heel sandals
73,formal blazer men
74,baby clothing
75,kids dress
76,bohemian dress
77,denim skirt
78,checked shirt men
79,ethnic palazzo
80,home decor lamps
81,designer saree
82,casual sneakers women
83,trucker jacket
84,home furnishings
85,designer perfume women
86,occasion wear women
87,slim fit shirt men
88,ethnic blouse
89,kid shorts
90,workout tshirt
91,embroidered kurta
92,laptop bag
93,travel luggage
94,designer handbag women
95,kids shoes
96,cotton dress women
97,branded jeans
98,cocktail saree
99,baby dress
100,college backpack
101,gym shorts men
102,casual shirt women
103,ethnic lehenga
104,winter boots
105,beach dress
106,formal shirt women
107,everyday bra
108,ethnic churidar
109,sports bra
110,designer kurti
111,half sleeve shirt
112,ethnic salwar suit
113,fitness apparel
114,pickup shoes men
115,casual pant women
116,sports jersey
117,hoodie men
118,ethnic dupatta
119,laptop messenger bag
120,woven kurta men
121,kid jeans
122,designer suit
123,ethnic mojri
124,baby onesie
125,ethnic bandhgala
126,school bag kids
127,cotton casual dress
128,formal footwear men
129,ethnic bridal wear
130,home cushion covers
131,baby frock
132,lounger shirt men
133,dog training accessories
134,ethnic sherwani
135,women underwear
136,kid ethnic wear
137,home kitchen storage
138,designer bag women
139,ethnic dhoti
140,casual wear men
141,pickup sneakers
142,home placemats
143,ethnic embroidered kurta
144,fitness tights
145,baby romper
146,kid tshirt
147,ethnic gooti
148,women lingerie
149,home bedsheet king
150,baby clothing set
151,branded perfume men
152,formal vest men
153,ethnic overcoat
154,lounger tshirt men
155,sports jacket
156,ethnic chunnari
157,women sports wear
158,kid shoes sports
159,home handpainted decor
160,baby casual wear
161,designer sunglasses
162,ethnic phulkari
163,casual sandals men
164,women formal suit
165,ethnic patiala salwar
166,baby gift set
167,home dinner set
168,ethnic armlet
169,pickup flip flops
170,kid formal wear
171,home decorative bowls
172,ethnic waist belt
173,designer watch
174,baby formal dress
175,ethnic choli
176,sports tracksuit
177,women yoga wear
178,kid designer wear
179,home geometric decor
180,baby party wear
181,designer cufflinks
182,ethnic waistcoat
183,casual jacket men
184,women branded cosmetics
185,ethnic dhoti pant
186,baby winter wear
187,home ceramic accessories
188,ethnic neck piece
189,pickup sports shoes
190,kid ethnic set
191,home multicolored decor
192,ethnic potli bag
193,designer aviator sunglasses
194,baby casual shoes
195,ethnic topi
196,lounger shorts men
197,women branded bag
198,ethnic churidar men
199,kid winter jacket
200,home soft furnishings
201,designer clutch
202,ethnic bangles
203,pickup outdoor shoes
204,baby diaper bag
205,ethnic kurta set women
206,women branded sandals
207,ethnic jutti
208,kid branded shoes
209,home geometric placemats
210,baby branded clothes
211,designer tote bag
212,ethnic lehenga choli
213,casual footwear women
214,women branded perfume
215,ethnic kalidar
216,baby branded shoes
217,home floral decor
218,ethnic stone jewelry
219,pickup hiking shoes
220,kid branded tshirt
221,ethnic embroidered suit
222,baby branded dress
223,home cotton textiles
224,ethnic ladoo
