query_id,query_text
481,ethnic hair accessories
56,leather jacket men
98,cocktail saree
440,designer tennis bracelet
214,women branded perfume
186,baby winter wear
110,designer kurti
151,branded perfume men
284,baby branded formal wear
288,kid branded leggings
57,kurta pajama men
99,baby dress
417,home fairy lights
385,kid branded fairy wings
92,laptop bag
192,ethnic potli bag
459,ethnic necklace set
79,ethnic palazzo
208,kid branded shoes
290,baby branded swimwear
262,baby branded casual wear
261,ethnic antique finish
327,home bath rug
393,baby branded feeding pillow
72,high heel sandals
345,women branded ballet flats
10,black trousers
7,denim jacket
317,ethnic gota patti
1,blue jeans for women
163,casual sandals men
5,leather handbag
297,baby branded superhero costume
494,ethnic traditional wear complete
86,occasion wear women
78,checked shirt men
483,baby branded diaper disposal system
242,home melamine dinnerware
91,embroidered kurta
58,casual dress
46,maternity wear
460,kid branded rocket backpack
174,baby formal dress
64,cocktail dress
82,casual sneakers women
107,everyday bra
115,casual pant women
273,pickup running shoes
469,home accent table lights
146,kid tshirt
471,ethnic jhumar
476,baby branded diaper stacker
376,ethnic brass jewelry
428,women branded gladiator sandals
495,women branded slip on oxfords
96,cotton dress women
74,baby clothing
323,women branded booties
368,women branded platform heels
172,ethnic waist belt
367,pickup crossfit shoes
340,kid branded princess dress
384,ethnic copper jewelry
43,luxury perfume
397,pickup boxing shoes
287,ethnic bead work
164,women formal suit
457,pickup track spikes
331,women branded pumps
422,kid branded chef costume
429,ethnic kamarbandh
232,pickup waterproof shoes
60,ethnic saree
233,women branded scarf
120,woven kurta men
239,kid branded shorts
291,home wall decor
226,women branded watch
461,baby branded diaper bag
363,baby branded receiving blanket
295,ethnic craft jewelry
354,ethnic moti jewelry
117,hoodie men
451,ethnic bajuband
312,home bathroom accessories
491,baby branded diaper zipper
276,baby branded party wear
155,sports jacket
229,home storage jars
23,wristwatch
282,women branded flats
304,baby branded character wear
83,trucker jacket
24,sunglasses
365,designer coin purse
14,cotton kurta women
161,designer sunglasses
197,women branded bag
394,home ceiling lights
308,women branded loafers
25,sports shoes
311,baby branded bath towel
105,beach dress
153,ethnic overcoat
132,lounger shirt men
159,home handpainted decor
349,home napkin holders
44,fashion accessories
293,ethnic oxidized jewelry
309,ethnic antique jewelry
35,formal shoes
227,ethnic ghagra
65,dress shirt men
135,women underwear
444,ethnic payal
230,baby branded onesie
2,black formal shirt men
362,kid branded tiara
330,pickup cross training shoes
344,ethnic polki jewelry
294,women branded slippers
492,home pendant lighting
31,gym wear
32,wedding dress
407,kid branded astronaut costume
237,designer backpack women
61,printed shirt men
463,designer eternity ring
387,home chandeliers
81,designer saree
167,home dinner set
113,fitness apparel
266,women branded jumpsuit
47,plus size clothing
41,branded t-shirt
246,women branded cardigan
55,sports watch
90,workout tshirt
162,ethnic phulkari
63,trackpants men
413,women branded derby shoes
49,stylish bag
68,ethnic wear men
75,kids dress
67,cargo pants men
198,ethnic churidar men
332,ethnic meenakari jewelry
181,designer cufflinks
59,formal trousers men
358,designer leather wallet
442,pickup climbing shoes
234,ethnic suede
8,brown leather shoes
300,ethnic hand embroidery
435,women branded gladiator heels
250,home printed cushions
251,designer sling bag
30,travel bag
402,home wall sconces
329,ethnic pearl jewelry
372,home desk lamps
389,ethnic white gold jewelry
433,designer cuff bracelet
258,pickup tennis shoes
217,home floral decor
445,kid branded space shuttle costume
236,home decorative trays
419,ethnic nath
454,home garden lights
66,floral dress women
357,home table lamps
406,ethnic antique finish jewelry
168,ethnic armlet
404,ethnic temple jewelry
390,women branded espadrilles
26,ethnic wear women
38,jewelry set
40,kids clothing
93,travel luggage
200,home soft furnishings
127,cotton casual dress
500,designer diamond jewelry
51,striped shirt men
285,home decorative mirrors
350,designer keychain
378,baby branded changing mat
403,designer anklet
307,ethnic danka work
224,ethnic ladoo
3,casual t-shirt under 1000
373,designer card holder
399,ethnic filigree work
33,casual sneakers
438,baby branded rocking chair
157,women sports wear
97,branded jeans
408,baby branded teether set
474,ethnic earrings set
102,casual shirt women
268,kid branded jacket
468,baby branded diaper covers
381,ethnic rose gold jewelry
178,kid designer wear
121,kid jeans
398,women branded mary janes
430,kid branded scientist costume
94,designer handbag women
482,kid branded rocket sheets
478,designer anniversary ring
125,ethnic bandhgala
302,ethnic jewelry box
54,party dress women
267,ethnic mirror work
6,red dress women
274,women branded culottes
361,ethnic tera work
371,baby branded swaddle
347,kid branded peter pan collar dress
499,home atmospheric lights
432,home accent lights
280,designer weekend bag
141,pickup sneakers
210,baby branded clothes
414,ethnic toe ring
281,ethnic lucky bag
166,baby gift set
88,ethnic blouse
206,women branded sandals
458,women branded slip on sneakers
289,ethnic traditional jewelry
264,designer camera bag
134,ethnic sherwani
334,baby branded bib sets
165,ethnic patiala salwar
421,ethnic ear tops
221,ethnic embroidered suit
